materia;assunto;tipo;banca;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta
INFORMÁTICA;Internet e Navegadores;Múltipla Escolha;ENEM;Qual a principal função de um cookie em um navegador web?;Acelerar o download de arquivos pesados.;Garantir a segurança da conexão criptografada.;Armazenar informações sobre a navegação do usuário (preferências, login, etc.).;Bloquear anúncios indesejados.;Monitorar o tráfego de rede em tempo real.;C
MATEMÁTICA;Geometria Plana;Múltipla Escolha;ENEM;Se a área de um quadrado é de 64 cm², qual é o perímetro desse quadrado?;8 cm;16 cm;32 cm;64 cm;128 cm;C
HISTÓRIA;Revolução Francesa;Múltipla Escolha;VUNESP;O lema da Revolução Francesa era:;Paz, Terra e Pão.;Liberdade, Igualdade e Fraternidade.;Ordem e Progresso.;Poder, Glória e Honra.;Deus, Pátria e Família.;B
GEOGRAFIA;Urbanização;Múltipla Escolha;FGV;O processo de metropolização é caracterizado pela:;Concentração da população em áreas rurais.;Crescimento de cidades médias isoladas.;Formação de grandes aglomerações urbanas interligadas.;Diminuição da densidade demográfica nas capitais.;Predomínio da atividade industrial.;C
PORTUGUÊS;Ortografia;Múltipla Escolha;FGV;Qual palavra está escrita de forma incorreta?;Exceção;Previlégio;Ascensão;Intercessão;Oportunidade;B
DIREITO ADMINISTRATIVO;Licitação;Certo/Errado;CESPE;A modalidade de licitação "Pregão" destina-se, preferencialmente, à aquisição de bens e serviços comuns.;Certo;Errado;;;;Certo
INFORMÁTICA;Hardware;Múltipla Escolha;VUNESP;Qual componente de hardware é volátil e armazena temporariamente os dados que estão em uso pelo processador?;HD (Disco Rígido);SSD (Disco de Estado Sólido);Memória ROM;Memória RAM;Placa-mãe;D
MATEMÁTICA;Porcentagem;Múltipla Escolha;ENEM;Um produto custa R$ 120,00 e sofre um desconto de 15%. Qual o novo preço do produto?;R$ 102,00;R$ 108,00;R$ 110,00;R$ 105,00;R$ 98,00;A
HISTÓRIA;Período Colonial;Múltipla Escolha;FGV;A principal atividade econômica do Brasil Colônia no ciclo do açúcar era baseada na:;Mineração e extração de ouro.;Pecuária extensiva no Sul.;Plantation (Monocultura, Latifúndio e Escravismo).;Extração de pau-brasil.;Indústria têxtil.;C
GEOGRAFIA;Recursos Hídricos;Múltipla Escolha;ENEM;O aquífero Guarani é um importante reservatório subterrâneo de água que se estende por quais países da América do Sul?;Brasil e Argentina.;Brasil, Argentina, Paraguai e Uruguai.;Brasil, Venezuela e Colômbia.;Brasil e Chile.;Brasil e Peru.;B
PORTUGUÊS;Período Composto;Múltipla Escolha;VUNESP;No trecho "Ele só reclamou porque não conseguiu o que queria", a oração sublinhada é classificada como subordinada adverbial:;Concessiva.;Causal.;Condicional.;Comparativa.;Conformativa.;B
DIREITO ADMINISTRATIVO;Servidor Público;Certo/Errado;CESPE;O estágio probatório é o período de 3 (três) anos, durante o qual o servidor recém-empossado terá seu desempenho avaliado.;Certo;Errado;;;;Certo
INFORMÁTICA;Backup;Múltipla Escolha;VUNESP;A estratégia de backup que copia apenas os arquivos que foram alterados desde o último backup completo ou incremental é chamada de:;Completo.;Espelho.;Sintético.;Incremental.;Diferencial.;D
MATEMÁTICA;Progressão Aritmética (PA);Múltipla Escolha;FGV;Qual é o 10º termo de uma PA em que o primeiro termo é 3 e a razão é 5?;48;50;45;53;43;A
HISTÓRIA;Primeira Guerra Mundial;Múltipla Escolha;ENEM;A "Paz Armada" que antecedeu a Primeira Guerra Mundial foi caracterizada por:;Um período de desarmamento global.;Um forte investimento em tecnologia militar e alianças.;A hegemonia naval britânica inquestionável.;O fim das disputas imperialistas.;O isolamento diplomático da Alemanha.;B
GEOGRAFIA;Demografia;Múltipla Escolha;FGV;A "transição demográfica" é o fenômeno caracterizado pela passagem de:;Altas taxas de natalidade e mortalidade para baixas taxas.;População rural para população urbana.;Imigração para emigração.;Crescimento populacional nulo para crescimento acelerado.;População jovem para população idosa.;A
PORTUGUÊS;Colocação Pronominal;Múltipla Escolha;FGV;A colocação pronominal está incorreta em:;Me disseram que o prazo acabou.;Dizem-me que o prazo acabou.;Quando me disseram a verdade.;Não me disseram a verdade.;Dir-me-ão a verdade.;A
DIREITO CONSTITUCIONAL;Controle de Constitucionalidade;Certo/Errado;CESPE;O Supremo Tribunal Federal é o único órgão competente para realizar o controle concentrado de constitucionalidade no Brasil.;Certo;Errado;;;;Certo
INFORMÁTICA;Planilhas Eletrônicas (Excel/Calc);Múltipla Escolha;VUNESP;Em uma planilha, a fórmula =SOMA(A1:A5) resulta na soma dos valores das células:;Apenas A1 e A5.;A1, A3 e A5.;A1 mais o valor 5.;De A1 até A5, inclusive.;A1 e a coluna A da linha 5.;D
MATEMÁTICA;Equação do Segundo Grau;Múltipla Escolha;ENEM;Qual o valor de delta (Δ) da equação x² - 5x + 6 = 0?;1;0;25;49;-1;A
HISTÓRIA;Revolução Industrial;Múltipla Escolha;ENEM;A máquina a vapor, invenção crucial da Primeira Revolução Industrial, foi alimentada principalmente por qual fonte de energia?;Petróleo.;Eletricidade.;Carvão mineral.;Energia hidrelétrica.;Gás natural.;C
GEOGRAFIA;Fusos Horários;Múltipla Escolha;VUNESP;Se em Londres (GMT) são 10h, que horas são em Brasília (GMT-3)?;13h;7h;10h;11h;14h;B
PORTUGUÊS;Interpretação (Ironia);Múltipla Escolha;ENEM;Um crítico de cinema escreveu: "O filme tem um enredo tão original quanto o pão com manteiga de todo dia." Qual figura de linguagem está presente e qual o seu efeito?;Metáfora, destacando a importância.;Ironia, criticando a falta de originalidade.;Hipérbole, exagerando a qualidade.;Eufemismo, suavizando uma crítica.;Comparação, elogiando a simplicidade.;B
DIREITO CONSTITUCIONAL;Direitos Políticos;Certo/Errado;CESPE;O alistamento eleitoral e o voto são obrigatórios para os maiores de 18 anos e facultativos para os analfabetos.;Certo;Errado;;;;Certo
INFORMÁTICA;Cloud Computing;Múltipla Escolha;FGV;Qual modelo de serviço de computação em nuvem oferece a infraestrutura básica (servidores, redes, armazenamento), mas exige que o usuário gerencie o sistema operacional e aplicações?;SaaS (Software as a Service);PaaS (Platform as a Service);IaaS (Infrastructure as a Service);FaaS (Function as a Service);DaaS (Data as a Service);C
MATEMÁTICA;Média Aritmética;Múltipla Escolha;VUNESP;As notas de um aluno foram 7, 8 e 9. Qual é a média aritmética dessas notas?;7,5;8,0;8,5;9,0;7,8;B
HISTÓRIA;Antiguidade Clássica;Múltipla Escolha;FGV;Qual civilização da Antiguidade Clássica é considerada o berço da democracia?;Mesopotâmia.;Egito.;Roma.;Grécia.;Pérsia.;D
GEOGRAFIA;Setores da Economia;Múltipla Escolha;VUNESP;O setor da economia que engloba atividades de comércio e prestação de serviços é o setor:;Primário.;Secundário.;Terciário.;Quaternário.;Quinário.;C
PORTUGUÊS;Pronomes Pessoais;Múltipla Escolha;FGV;Assinale a alternativa em que o pronome pessoal foi empregado corretamente.;Para mim fazer o trabalho é difícil.;Ele veio para mim conversar.;Ele deu o livro para eu.;Não há nada entre eu e você.;Trouxe o documento para eu assinar.;E
DIREITO CONSTITUCIONAL;Emendas Constitucionais;Certo/Errado;CESPE;A Constituição Federal pode ser emendada na vigência de intervenção federal, de estado de defesa ou de estado de sítio.;Certo;Errado;;;;Errado
INFORMÁTICA;Criptografia;Múltipla Escolha;VUNESP;A criptografia de chave pública (ou assimétrica) utiliza quantos pares de chaves para o processo de criptografia e descriptografia?;Uma chave única.;Duas chaves (pública e privada).;Três chaves distintas.;Uma chave simétrica e uma assimétrica.;Quatro chaves diferentes.;B
MATEMÁTICA;Área do Círculo;Múltipla Escolha;FGV;Se o raio de um círculo é 5 cm, qual é a sua área? (Use $\pi$ = 3,14);78,5 cm²;15,7 cm²;31,4 cm²;25 cm²;10 cm²;A
HISTÓRIA;Expansão Marítima;Múltipla Escolha;ENEM;O principal motivo que impulsionou a expansão marítima europeia no século XV foi a busca por:;Novas terras para a agricultura.;Uma rota alternativa para as Índias, visando especiarias.;O ouro e a prata da América.;Novos mercados para produtos industrializados.;A propagação da fé protestante.;B
GEOGRAFIA;Placas Tectônicas;Múltipla Escolha;CESPE;Os terremotos e vulcanismos são fenômenos que ocorrem com maior frequência nas áreas de contato entre as placas tectônicas.;Certo;Errado;;;;Certo
PORTUGUÊS;Sintaxe;Múltipla Escolha;VUNESP;A função sintática do termo sublinhado em "O aluno inteligente foi aprovado" é:;Objeto direto.;Adjunto adnominal.;Predicativo do sujeito.;Complemento nominal.;Aposto.;B
DIREITO ADMINISTRATIVO;Poder de Polícia;Certo/Errado;CESPE;O poder de polícia da Administração Pública pode ser delegado a particulares, desde que sejam entidades da administração indireta.;Certo;Errado;;;;Certo
INFORMÁTICA;Malwares;Múltipla Escolha;ENEM;Qual tipo de software malicioso se propaga automaticamente pela rede, sem a necessidade de anexar-se a um arquivo hospedeiro?;Vírus.;Worm.;Spyware.;Trojan.;Rootkit.;B
MATEMÁTICA;Equações Exponenciais;Múltipla Escolha;VUNESP;Qual o valor de x na equação $2^{x+1} = 32$?;3;4;5;6;7;B
HISTÓRIA;Idade Média;Múltipla Escolha;FGV;A principal característica do sistema feudal na Europa Ocidental era:;A intensa centralização do poder nas mãos do rei.;A relação de suserania e vassalagem, com a terra como base.;O desenvolvimento do comércio marítimo.;A predominância da servidão urbana.;O enfraquecimento total da Igreja Católica.;B
GEOGRAFIA;Crescimento Vegetativo;Múltipla Escolha;ENEM;O crescimento vegetativo de uma população é calculado pela diferença entre:;Taxa de imigração e taxa de emigração.;População absoluta e população relativa.;Taxa de natalidade e taxa de mortalidade.;População urbana e população rural.;População economicamente ativa e inativa.;C
PORTUGUÊS;Semântica;Múltipla Escolha;ENEM;Qual das palavras abaixo NÃO é sinônimo de "Exímio"?;Excelente;Notável;Incomparável;Medíocre;Insuperável;D
DIREITO CONSTITUCIONAL;Segurança Pública;Certo/Errado;CESPE;A Polícia Federal e as Polícias Civis são responsáveis, no âmbito da segurança pública, pela apuração das infrações penais, exceto as militares.;Certo;Errado;;;;Certo
INFORMÁTICA;Armazenamento de Dados;Múltipla Escolha;FGV;Qual unidade de medida de armazenamento de dados representa aproximadamente $10^{12}$ bytes?;Gigabyte (GB);Terabyte (TB);Petabyte (PB);Exabyte (EB);Kilobyte (KB);B
MATEMÁTICA;Logaritmos;Múltipla Escolha;VUNESP;O valor de $\log_2(8)$ é:;2;3;4;16;8;B
HISTÓRIA;Guerra Fria;Múltipla Escolha;FGV;A criação da Organização do Tratado do Atlântico Norte (OTAN) e do Pacto de Varsóvia representou o(a):;Início da corrida espacial.;Fim da bipolaridade mundial.;Alinhamento militar de blocos opostos.;Dissolução da União Soviética.;Crise do petróleo.;C
GEOGRAFIA;Relevo;Múltipla Escolha;VUNESP;O agente modelador do relevo que age através do desgaste e transporte de material (erosão) é classificado como:;Agente endógeno.;Agente tectônico.;Agente vulcânico.;Agente exógeno.;Agente sísmico.;D
PORTUGUÊS;Morfologia;Múltipla Escolha;FGV;Assinale a alternativa que contém apenas adjetivos.;Tristeza, alegria, beleza.;Rápido, bondoso, esperança.;Veloz, inteligente, azul.;Correr, andar, pular.;Carro, casa, mesa.;C
DIREITO CONSTITUCIONAL;Reforma Agrária;Certo/Errado;CESPE;Compete à União desapropriar por interesse social, para fins de reforma agrária, o imóvel rural que não esteja cumprindo sua função social, mediante prévia e justa indenização em títulos da dívida agrária.;Certo;Errado;;;;Certo
INFORMÁTICA;Acessibilidade;Múltipla Escolha;ENEM;Para um usuário com deficiência visual, qual ferramenta de software é essencial para a leitura de textos exibidos na tela?;Firewall.;Antivírus.;Leitor de tela (Screen Reader).;Editor de vídeo.;Sistema de gestão de banco de dados.;C
MATEMÁTICA;Geometria Espacial (Volume);Múltipla Escolha;ENEM;O volume de um cubo de aresta 3 cm é:;9 cm³;18 cm³;27 cm³;81 cm³;3 cm³;C
HISTÓRIA;Império Romano;Múltipla Escolha;VUNESP;O evento que marcou o fim da Idade Antiga e o início da Idade Média na Europa foi:;O nascimento de Cristo.;A queda da Bastilha.;A queda do Império Romano do Ocidente (476 d.C.).;O descobrimento da América.;A Peste Negra.;C
GEOGRAFIA;Fontes de Energia;Múltipla Escolha;ENEM;A energia proveniente da decomposição de matéria orgânica, como restos de alimentos e excrementos, utilizada para gerar eletricidade, é a:;Energia solar.;Energia eólica.;Energia nuclear.;Energia de biomassa.;Energia geotérmica.;D
PORTUGUÊS;Interpretação (Denotação/Conotação);Múltipla Escolha;VUNESP;Na frase "Aquele político é uma raposa", a palavra em destaque foi usada em sentido:;Denotativo, indicando a espécie animal.;Denotativo, indicando astúcia.;Conotativo, indicando esperteza.;Conotativo, indicando a espécie animal.;Literal e direto.;C
DIREITO ADMINISTRATIVO;Bens Públicos;Certo/Errado;CESPE;Os bens públicos dominicais são aqueles que podem ser alienados, observadas as exigências legais.;Certo;Errado;;;;Certo
INFORMÁTICA;Internet e Conceitos;Múltipla Escolha;CESPE;O conceito de IOT (Internet das Coisas) refere-se à interconexão de objetos físicos por meio de sensores e software, permitindo a troca de dados.;Certo;Errado;;;;Certo
MATEMÁTICA;Noção de Conjuntos;Múltipla Escolha;ENEM;Se o conjunto A tem 5 elementos e o conjunto B tem 3 elementos, e $A \cap B$ tem 2 elementos, quantos elementos tem $A \cup B$?;8;7;6;10;5;C
HISTÓRIA;Revolução Russa;Múltipla Escolha;FGV;O lema "Paz, Terra e Pão" foi adotado por qual líder da Revolução Russa?;Stalin.;Lênin.;Trotsky.;Czar Nicolau II.;Kerensky.;B
GEOGRAFIA;Biomas Brasileiros;Múltipla Escolha;VUNESP;Qual bioma brasileiro é caracterizado por árvores retorcidas, casca grossa e vegetação adaptada à seca, abrangendo principalmente o Planalto Central?;Mata Atlântica.;Caatinga.;Pampa.;Cerrado.;Floresta Amazônica.;D
PORTUGUÊS;Pontuação;Múltipla Escolha;FGV;O emprego da vírgula está incorreto em:;Os alunos, ansiosos, aguardavam o resultado.;Ele, que era médico, nos ajudou.;Os candidatos trouxeram caneta, borracha e lápis.;Os livros estão sobre a mesa, e os cadernos, na gaveta.;Se chover, não irei ao parque.;D
DIREITO CONSTITUCIONAL;Direito de Greve;Certo/Errado;CESPE;O direito de greve será exercido nos termos e limites definidos em lei específica, sendo vedado aos servidores públicos civis.;Certo;Errado;;;;Errado
INFORMÁTICA;Banco de Dados (SQL);Múltipla Escolha;VUNESP;Em SQL, qual comando é utilizado para recuperar dados de um banco de dados?;UPDATE;INSERT;SELECT;DELETE;CREATE;C
MATEMÁTICA;Razão e Proporção;Múltipla Escolha;ENEM;Se a razão entre dois números é 3/5 e a soma deles é 40, quais são esses números?;10 e 30;15 e 25;12 e 28;5 e 35;8 e 32;B
HISTÓRIA;Brasil Império;Múltipla Escolha;FGV;A Guerra do Paraguai (1864-1870) teve como uma de suas consequências para o Brasil o(a):;Fortalecimento da monarquia.;Aceleração da Proclamação da República.;Fim da escravidão.;Expansão territorial para o Norte.;Reaproximação com Portugal.;B
GEOGRAFIA;Indústria no Brasil;Múltipla Escolha;FGV;As regiões metropolitanas de São Paulo e Rio de Janeiro são historicamente conhecidas por concentrar a maior parte da produção industrial do país. Esse fenômeno é resultado, principalmente, da:;Desconcentração industrial.;Guerra fiscal entre estados.;Incentivos fiscais do governo federal.;Concentração de infraestrutura e mercado consumidor.;Ausência de sindicatos.;D
PORTUGUÊS;Variação Linguística;Múltipla Escolha;ENEM;O uso de expressões regionais ou gírias em uma redação formal pode comprometer a:;Coerência.;Coesão.;Adequação linguística.;Intertextualidade.;Argumentação.;C
DIREITO ADMINISTRATIVO;Responsabilidade Civil do Estado;Certo/Errado;CESPE;A responsabilidade civil das pessoas jurídicas de direito privado prestadoras de serviços públicos é objetiva.;Certo;Errado;;;;Certo
INFORMÁTICA;Sistemas de Arquivos;Múltipla Escolha;FGV;Em sistemas Windows, qual o sistema de arquivos mais utilizado atualmente que permite o uso de permissões e segurança mais robustas que o FAT32?;NTFS;EXT4;HFS+;APFS;ReFS;A
MATEMÁTICA;Progressão Geométrica (PG);Múltipla Escolha;VUNESP;Qual é o quarto termo de uma PG em que o primeiro termo é 2 e a razão é 3?;6;18;24;54;81;D
HISTÓRIA;Colonização da América;Múltipla Escolha;ENEM;A colonização inglesa na América do Norte, especialmente nas colônias do Norte, foi caracterizada principalmente por:;O modelo de exploração (plantation).;A colonização de povoamento.;A exploração exclusiva de ouro.;O trabalho compulsório indígena.;A presença de feitorias.;B
GEOGRAFIA;Cadeias Produtivas;Múltipla Escolha;ENEM;A atividade agrícola que utiliza alta tecnologia, mão de obra especializada e visa a exportação em larga escala é denominada:;Agricultura de subsistência.;Reforma agrária.;Agricultura orgânica.;Agribusiness.;Êxodo rural.;D
PORTUGUÊS;Funções da Linguagem;Múltipla Escolha;FGV;Na frase "Feche a porta imediatamente!", a função de linguagem predominante é a:;Fática.;Conativa ou Apelativa.;Emotiva.;Metalinguística.;Referencial.;B
DIREITO CONSTITUCIONAL;Direito à Saúde;Certo/Errado;CESPE;O direito à saúde é direito de todos e dever do Estado, sendo garantido mediante políticas sociais e econômicas que visem à redução do risco de doença e de outros agravos e ao acesso universal e igualitário às ações e serviços para sua promoção, proteção e recuperação.;Certo;Errado;;;;Certo
INFORMÁTICA;Edição de Texto (Word/Writer);Múltipla Escolha;VUNESP;Em um editor de texto, o recurso que permite quebrar uma palavra que não cabe no final da linha e continuar na linha seguinte é chamado de:;Tabulação.;Margem.;Recuo.;Hifenização.;Alinhamento.;D
MATEMÁTICA;Sistemas Lineares;Múltipla Escolha;FGV;A soma de dois números é 10 e a diferença é 2. Quais são os números?;4 e 6;3 e 7;5 e 5;8 e 2;1 e 9;A
HISTÓRIA;Revolução Mexicana;Múltipla Escolha;VUNESP;A Revolução Mexicana (início em 1910) teve como principal bandeira de luta a:;Nacionalização do Canal do Panamá.;Luta por terras e contra o latifúndio.;Apoio à ditadura de Porfírio Díaz.;Independência em relação à Espanha.;Aproximação com os Estados Unidos.;B
GEOGRAFIA;Matriz Energética;Múltipla Escolha;ENEM;A principal fonte de energia elétrica utilizada no Brasil é a:;Termelétrica.;Nuclear.;Eólica.;Hidrelétrica.;Solar.;D
PORTUGUÊS;Gêneros Textuais;Múltipla Escolha;ENEM;Qual gênero textual tem como função principal instruir o leitor sobre como realizar uma tarefa ou montar um objeto?;Notícia.;Editorial.;Bula de remédio.;Crônica.;Artigo de opinião.;C
DIREITO ADMINISTRATIVO;Contratos Administrativos;Certo/Errado;CESPE;Nos contratos administrativos, a Administração Pública detém a prerrogativa de alterar unilateralmente o contrato, observados os limites legais.;Certo;Errado;;;;Certo
INFORMÁTICA;Linguagens de Programação;Múltipla Escolha;VUNESP;Qual das linguagens a seguir é comumente utilizada para estilização de páginas web, definindo cores, fontes e layouts?;HTML;JavaScript;CSS;Python;SQL;C
MATEMÁTICA;Potenciação;Múltipla Escolha;FGV;O resultado da expressão $2^3 + 3^2 - 1^5$ é:;15;16;14;12;18;B
HISTÓRIA;Holocausto;Múltipla Escolha;ENEM;O Holocausto, durante a Segunda Guerra Mundial, representou o genocídio sistemático de milhões de pessoas, tendo como principal alvo:;Eslavos e prisioneiros de guerra.;Ciganos e comunistas.;Judeus.;Opositores políticos alemães.;Pessoas com deficiência física.;C
GEOGRAFIA;Questão Agrária;Múltipla Escolha;FGV;A concentração fundiária no Brasil está historicamente ligada ao sistema de:;Latifúndio e herança colonial.;Minifúndio e agricultura familiar.;Colonização de povoamento.;Industrialização tardia.;Êxodo urbano.;A
PORTUGUÊS;Figuras de Linguagem (Metáfora);Múltipla Escolha;FGV;Na frase "Seu olhar era um farol na escuridão", a figura de linguagem utilizada é:;Comparação.;Metonímia.;Hipérbole.;Metáfora.;Personificação.;D
DIREITO CONSTITUCIONAL;Ordem Social;Certo/Errado;CESPE;A assistência social será prestada a quem dela necessitar, independentemente de contribuição à seguridade social.;Certo;Errado;;;;Certo
INFORMÁTICA;Hardware (Memória);Múltipla Escolha;FGV;A memória cache do processador tem como principal função:;Armazenar dados permanentemente.;Aumentar a capacidade de armazenamento do computador.;Acelerar o acesso a dados e instruções frequentemente usados.;Gerenciar a saída de vídeo.;Controlar a velocidade do clock.;C
MATEMÁTICA;Função Quadrática (Máximo/Mínimo);Múltipla Escolha;ENEM;A função $f(x) = -x^2 + 4x - 3$ tem um valor máximo em x igual a:;1;2;3;0;-1;B
HISTÓRIA;Reforma Protestante;Múltipla Escolha;VUNESP;O movimento da Reforma Protestante, iniciado por Martinho Lutero, tinha como princípio fundamental a:;Venda de indulgências.;Autoridade exclusiva do Papa.;Salvação pela fé.;Criação da Companhia de Jesus.;Guerra Santa.;C
